metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Rosedale Ravine Lands,Jan-22,43.67272549,-79.37625428,9,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-01-01
Scarborough Heights Park,Jan-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-01-01
Severn Creek Park,Jan-22,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-01-01
Taylor Creek Park,Jan-22,43.69711646,-79.29741235,0,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-01-01
Trinity Square,Jan-22,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-01-01
Warden Woods Park,Jan-22,43.6981562,-79.28484213,0,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-01-01
Wilket Creek Park,Jan-22,43.71724435,-79.35015227,0,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-01-01
Woodbine Park (New),Jan-22,43.66467932,-79.3134879,2,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-01-01
Allan Gardens,Feb-22,43.66093307,-79.3735941,4,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-02-01
Charles Sauriol Conservation Area,Feb-22,43.72881139,-79.32116014,0,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-02-01
Cherry Beach Clarke Beach Park,Feb-22,43.63692099,-79.3443083,4,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-02-01
Clarence Square Park,Feb-22,43.64418139,-79.39371522,3,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-02-01
Downsview Park and Lawn Bowling Greens,Feb-22,43.71931001,-79.51254444,0,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-02-01
E.T. Seton Park,Feb-22,43.70457547,-79.34127867,0,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-02-01
Garrison Common,Feb-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-02-01
Grange Park,Feb-22,43.65261301,-79.39221132,7,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-02-01
High Park,Feb-22,43.64651218,-79.46393972,0,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-02-01
Kings Mill Park,Feb-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-02-01
Lakeshore Boulevard Parklands,Feb-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-02-01
Lavender Creek Trail,Feb-22,43.67434988,-79.47987059,0,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-02-01
Lower Don Parklands,Feb-22,43.69741478,-79.35386848,8,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-02-01
Martin Goodman Trail,Feb-22,43.6580416,-79.3314175,0,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-02-01
Morningside Park,Feb-22,43.78090037,-79.19730417,7,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-02-01
Nordheimer Ravine,Feb-22,43.68179447,-79.4101068,1,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-02-01
Riverdale Park East,Feb-22,43.67094057,-79.35433043,2,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-02-01
Rosedale Ravine Lands,Feb-22,43.67272549,-79.37625428,9,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-02-01
Scarborough Heights Park,Feb-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-02-01
Severn Creek Park,Feb-22,43.67559997,-79.38645,2,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-02-01
Taylor Creek Park,Feb-22,43.69711646,-79.29741235,0,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-02-01
Trinity Square,Feb-22,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-02-01
Warden Woods Park,Feb-22,43.6981562,-79.28484213,0,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-02-01
Wilket Creek Park,Feb-22,43.71724435,-79.35015227,0,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-02-01
Woodbine Park (New),Feb-22,43.66467932,-79.3134879,2,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-02-01
Allan Gardens,Mar-22,43.66093307,-79.3735941,5,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-03-01
Charles Sauriol Conservation Area,Mar-22,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-03-01
Cherry Beach Clarke Beach Park,Mar-22,43.63692099,-79.3443083,3,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-03-01
Clarence Square Park,Mar-22,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-03-01
Downsview Park and Lawn Bowling Greens,Mar-22,43.71931001,-79.51254444,0,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-03-01
E.T. Seton Park,Mar-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-03-01
Garrison Common,Mar-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-03-01
Grange Park,Mar-22,43.65261301,-79.39221132,9,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-03-01
High Park,Mar-22,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-03-01
Kings Mill Park,Mar-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-03-01
Lakeshore Boulevard Parklands,Mar-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-03-01
Lavender Creek Trail,Mar-22,43.67434988,-79.47987059,0,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-03-01
Lower Don Parklands,Mar-22,43.69741478,-79.35386848,13,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-03-01
Martin Goodman Trail,Mar-22,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-03-01
Morningside Park,Mar-22,43.78090037,-79.19730417,7,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-03-01
Nordheimer Ravine,Mar-22,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-03-01
Riverdale Park East,Mar-22,43.67094057,-79.35433043,2,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-03-01
Rosedale Ravine Lands,Mar-22,43.67272549,-79.37625428,6,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-03-01
Scarborough Heights Park,Mar-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-03-01
Severn Creek Park,Mar-22,43.67559997,-79.38645,2,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-03-01
Taylor Creek Park,Mar-22,43.69711646,-79.29741235,0,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-03-01
Trinity Square,Mar-22,43.65472242,-79.38160967,5,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-03-01
Warden Woods Park,Mar-22,43.6981562,-79.28484213,0,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-03-01
Wilket Creek Park,Mar-22,43.71724435,-79.35015227,0,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-03-01
Woodbine Park (New),Mar-22,43.66467932,-79.3134879,2,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-03-01
Allan Gardens,Apr-22,43.66093307,-79.3735941,5,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-04-01
Charles Sauriol Conservation Area,Apr-22,43.72881139,-79.32116014,2,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-04-01
Cherry Beach Clarke Beach Park,Apr-22,43.63692099,-79.3443083,0,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-04-01
Clarence Square Park,Apr-22,43.64418139,-79.39371522,3,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-04-01
Downsview Park and Lawn Bowling Greens,Apr-22,43.71931001,-79.51254444,0,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-04-01
E.T. Seton Park,Apr-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-04-01
Garrison Common,Apr-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-04-01
Grange Park,Apr-22,43.65261301,-79.39221132,6,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-04-01
High Park,Apr-22,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-04-01
Kings Mill Park,Apr-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-04-01
Lakeshore Boulevard Parklands,Apr-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-04-01
Lavender Creek Trail,Apr-22,43.67434988,-79.47987059,5,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-04-01
Lower Don Parklands,Apr-22,43.69741478,-79.35386848,13,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-04-01
Martin Goodman Trail,Apr-22,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-04-01
Morningside Park,Apr-22,43.78090037,-79.19730417,7,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-04-01
Nordheimer Ravine,Apr-22,43.68179447,-79.4101068,4,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-04-01
Riverdale Park East,Apr-22,43.67094057,-79.35433043,1,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-04-01
Rosedale Ravine Lands,Apr-22,43.67272549,-79.37625428,6,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-04-01
Scarborough Heights Park,Apr-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-04-01
Severn Creek Park,Apr-22,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-04-01
Taylor Creek Park,Apr-22,43.69711646,-79.29741235,1,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-04-01
Trinity Square,Apr-22,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-04-01
Warden Woods Park,Apr-22,43.6981562,-79.28484213,1,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-04-01
Wilket Creek Park,Apr-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-04-01
Woodbine Park (New),Apr-22,43.66467932,-79.3134879,3,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-04-01
Allan Gardens,May-22,43.66093307,-79.3735941,3,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-05-01
Charles Sauriol Conservation Area,May-22,43.72881139,-79.32116014,2,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-05-01
Cherry Beach Clarke Beach Park,May-22,43.63692099,-79.3443083,0,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-05-01
Clarence Square Park,May-22,43.64418139,-79.39371522,6,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-05-01
Downsview Park and Lawn Bowling Greens,May-22,43.71931001,-79.51254444,0,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-05-01
E.T. Seton Park,May-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-05-01
Garrison Common,May-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-05-01
Grange Park,May-22,43.65261301,-79.39221132,4,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-05-01
High Park,May-22,43.64651218,-79.46393972,0,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-05-01
Kings Mill Park,May-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-05-01
Lakeshore Boulevard Parklands,May-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-05-01
Lavender Creek Trail,May-22,43.67434988,-79.47987059,5,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-05-01
Lower Don Parklands,May-22,43.69741478,-79.35386848,13,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-05-01
Martin Goodman Trail,May-22,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-05-01
Morningside Park,May-22,43.78090037,-79.19730417,4,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-05-01
Nordheimer Ravine,May-22,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-05-01
Riverdale Park East,May-22,43.67094057,-79.35433043,3,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-05-01
Rosedale Ravine Lands,May-22,43.67272549,-79.37625428,4,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-05-01
Scarborough Heights Park,May-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-05-01
Severn Creek Park,May-22,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-05-01
Taylor Creek Park,May-22,43.69711646,-79.29741235,3,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-05-01
Trinity Square,May-22,43.65472242,-79.38160967,1,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-05-01
Warden Woods Park,May-22,43.6981562,-79.28484213,1,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-05-01
Wilket Creek Park,May-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-05-01
Woodbine Park (New),May-22,43.66467932,-79.3134879,2,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-05-01
Allan Gardens,Jun-22,43.66093307,-79.3735941,6,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-06-01
Charles Sauriol Conservation Area,Jun-22,43.72881139,-79.32116014,2,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-06-01
Cherry Beach Clarke Beach Park,Jun-22,43.63692099,-79.3443083,0,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-06-01
Clarence Square Park,Jun-22,43.64418139,-79.39371522,8,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-06-01
Downsview Park and Lawn Bowling Greens,Jun-22,43.71931001,-79.51254444,0,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-06-01
E.T. Seton Park,Jun-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-06-01
Garrison Common,Jun-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-06-01
Grange Park,Jun-22,43.65261301,-79.39221132,0,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-06-01
High Park,Jun-22,43.64651218,-79.46393972,0,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-06-01
Kings Mill Park,Jun-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-06-01
Lakeshore Boulevard Parklands,Jun-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-06-01
Lavender Creek Trail,Jun-22,43.67434988,-79.47987059,6,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-06-01
Lower Don Parklands,Jun-22,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-06-01
Martin Goodman Trail,Jun-22,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-06-01
Morningside Park,Jun-22,43.78090037,-79.19730417,3,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-06-01
Nordheimer Ravine,Jun-22,43.68179447,-79.4101068,2,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-06-01
Riverdale Park East,Jun-22,43.67094057,-79.35433043,2,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-06-01
Rosedale Ravine Lands,Jun-22,43.67272549,-79.37625428,7,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-06-01
Scarborough Heights Park,Jun-22,43.69866061,-79.24908553,1,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-06-01
Severn Creek Park,Jun-22,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-06-01
Taylor Creek Park,Jun-22,43.69711646,-79.29741235,3,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-06-01
Trinity Square,Jun-22,43.65472242,-79.38160967,1,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-06-01
Warden Woods Park,Jun-22,43.6981562,-79.28484213,1,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-06-01
Wilket Creek Park,Jun-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-06-01
Woodbine Park (New),Jun-22,43.66467932,-79.3134879,0,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-06-01
Allan Gardens,Jul-22,43.66093307,-79.3735941,5,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-07-01
Charles Sauriol Conservation Area,Jul-22,43.72881139,-79.32116014,2,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-07-01
Cherry Beach Clarke Beach Park,Jul-22,43.63692099,-79.3443083,2,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-07-01
Clarence Square Park,Jul-22,43.64418139,-79.39371522,10,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-07-01
Downsview Park and Lawn Bowling Greens,Jul-22,43.71931001,-79.51254444,3,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-07-01
E.T. Seton Park,Jul-22,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-07-01
Garrison Common,Jul-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-07-01
Grange Park,Jul-22,43.65261301,-79.39221132,0,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-07-01
High Park,Jul-22,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-07-01
Kings Mill Park,Jul-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-07-01
Lakeshore Boulevard Parklands,Jul-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-07-01
Lavender Creek Trail,Jul-22,43.67434988,-79.47987059,5,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-07-01
Lower Don Parklands,Jul-22,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-07-01
Martin Goodman Trail,Jul-22,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-07-01
Morningside Park,Jul-22,43.78090037,-79.19730417,0,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-07-01
Nordheimer Ravine,Jul-22,43.68179447,-79.4101068,2,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-07-01
Riverdale Park East,Jul-22,43.67094057,-79.35433043,2,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-07-01
Rosedale Ravine Lands,Jul-22,43.67272549,-79.37625428,8,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2022-07-01
Scarborough Heights Park,Jul-22,43.69866061,-79.24908553,2,33,4,449,18,8,0,0,22,0,0,3,1,1,2,0,1,1,4,0,0,0,0,0,2022-07-01
Severn Creek Park,Jul-22,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2022-07-01
Taylor Creek Park,Jul-22,43.69711646,-79.29741235,1,99,11,892,47,25,4,6,69,5,3,9,5,3,5,1,2,2,12,0,0,0,0,0,2022-07-01
Trinity Square,Jul-22,43.65472242,-79.38160967,2,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2022-07-01
Warden Woods Park,Jul-22,43.6981562,-79.28484213,1,86,9,785,36,21,3,2,55,5,3,8,2,3,5,1,2,1,8,0,0,0,0,0,2022-07-01
Wilket Creek Park,Jul-22,43.71724435,-79.35015227,1,56,8,707,27,21,1,4,51,6,8,16,1,3,4,4,4,6,13,1,1,0,0,0,2022-07-01
Woodbine Park (New),Jul-22,43.66467932,-79.3134879,1,109,9,680,60,20,7,21,82,10,10,9,6,4,4,2,2,2,14,1,0,0,0,0,2022-07-01
Allan Gardens,Aug-22,43.66093307,-79.3735941,21,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-08-01
Charles Sauriol Conservation Area,Aug-22,43.72881139,-79.32116014,2,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-08-01
Cherry Beach Clarke Beach Park,Aug-22,43.63692099,-79.3443083,3,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-08-01
Clarence Square Park,Aug-22,43.64418139,-79.39371522,11,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-08-01
