locationTypeCode,locationName,address,lat,lon
COOL_LOCN,Ancaster Park,43 ANCASTER RD,43.73337062,-79.46570139
COOL_LOCN,Earl Beatty Community Centre,455 GLEBEHOLME BLVD,43.686461,-79.321143
COOL_LOCN,Heron Park Community Centre,292 MANSE RD,43.768835,-79.17578
COOL_LOCN,Glen Long Community Centre,35 GLEN LONG AVE,43.708761,-79.456113
COOL_LOCN,Marian Engel Park,285 MELITA AVE,43.67371745,-79.42436498
COOL_LOCN,Frankland Community Centre,816 LOGAN AVE,43.677428,-79.349662
COOL_LOCN,Smythe Park,61 BLACK CREEK BLVD,43.67506516,-79.49784608
COOL_LOCN,Balmoral Park,170 FAYWOOD BLVD,43.74480881,-79.45008185
COOL_LOCN,Gord and Irene Risk Community Centre,2650 FINCH AVE,43.747443,-79.56652
COOL_LOCN,Antibes Community Centre,140 ANTIBES DR,43.781211,-79.446795
COOL_LOCN,Goulding Community Centre,45 GOULDING AVE,43.790626,-79.422164
COOL_LOCN,Weston Lions Park,2125 LAWRENCE AVE,43.69789026,-79.51773465
COOL_LOCN,Bayview Village Park,2945 BAYVIEW AVE,43.77321524,-79.38779361
COOL_LOCN,Chalkfarm Community Centre,180 Chalkfarm Dr,43.724048,-79.511815
COOL_LOCN,Harrison Pool,15 STEPHANIE ST,43.65108109,-79.39079613
COOL_LOCN,Grandravine Community Recreation Centre,23 GRANDRAVINE DR,43.751803,-79.490574
COOL_LOCN,Bellbury Park,55 VAN HORNE AVE,43.78370457,-79.36157183
COOL_LOCN,Cummer Park Community Centre,6000 Leslie St,43.800104,-79.371262
COOL_LOCN,Geary Avenue Parkette,15 GEARY AVE,43.67090966,-79.43092788
COOL_LOCN,Irving W. Chapley Community Centre,205 WILMINGTON AVE,43.761588,-79.456089
COOL_LOCN,Adams Park,2 ROZELL RD,43.79211331,-79.14597949
COOL_LOCN,Curran Hall Community Centre,277 Orton Park Rd,43.777425,-79.210847
COOL_LOCN,Hillcrest Community Centre,1339 BATHURST ST,43.679051,-79.415687
COOL_LOCN,Lawrence Heights Community Centre,5 REPLIN RD,43.71847,-79.443102
COOL_LOCN,Dennis R. Timbrell Resource Centre,29 St Dennis Dr,43.717941,-79.331687
COOL_LOCN,Berner Trail Park,45 NAHANNI TER,43.80125582,-79.22345563
COOL_LOCN,Highview Park,150 HIGHVIEW AVE,43.7026208,-79.25814236
COOL_LOCN,Masaryk Park,212 COWAN AVE,43.64024836,-79.4333265
COOL_LOCN,Domenico Di Luca Community Recreation Centre,25 Stanley Rd,43.742445,-79.515844
COOL_LOCN,Jimmie Simpson Recreation Centre,870 QUEEN ST,43.660041,-79.344948
COOL_LOCN,Ledbury Park,160 LEDBURY ST,43.726787,-79.42596
COOL_LOCN,Thomson Memorial Park,1005 BRIMLEY RD,43.7579199,-79.25326761
COOL_LOCN,Don Montgomery Community Centre,2467 Eglinton Ave E,43.732663,-79.261665
COOL_LOCN,Knob Hill Park,625 BRIMLEY RD,43.74388909,-79.24846736
COOL_LOCN,McCormick Park,66 SHERIDAN AVE,43.647492,-79.432833
