neighborhood_name,centroid_lat,centroid_lon,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic
4,43.73457298553048,-79.57200353223047,43,6,556,25,16,0,0,12,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
3,43.73944156462511,-79.57077978280387,42,5,536,24,14,0,0,12,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0
3,43.744452109837646,-79.5721390163693,40,5,526,22,14,0,0,13,3,1,1,0,1,1,0,1,0,1,0,0,0,0,0
2,43.74737947120552,-79.5750505380748,38,4,505,22,13,0,0,10,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
22,43.74625043113999,-79.56785657347773,40,5,540,20,14,0,0,14,3,1,1,0,1,1,0,1,0,1,0,0,0,0,0
21,43.7505455850409,-79.57216311671986,38,4,497,20,13,0,0,12,3,1,1,0,0,1,0,1,0,1,0,0,0,0,0
2,43.76158177306937,-79.57964382434719,23,3,354,13,10,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,43.75809964486725,-79.57494757255853,30,4,417,18,12,0,0,10,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2,43.76254380866327,-79.58061498691859,22,2,337,13,9,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,43.76369577575148,-79.57566156579527,22,3,346,11,9,0,0,9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
19,43.58871636011994,-79.5293289038836,26,3,230,16,11,2,0,8,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
20,43.59781695442079,-79.53448611423286,28,4,296,17,12,2,0,10,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
19,43.59394566658757,-79.5299020632219,30,4,272,17,12,2,0,11,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0
