location,type,lat,lon
Seneca Village Community Centre,Washroom Building,43.79402428,-79.35131781
Secord Community Centre,Washroom Building,43.69207331,-79.30169191
Scarborough Village Recreation Centre,Washroom Building,43.74017216,-79.21659701
S.H. Armstrong Community Centre,Washroom Building,43.66588791,-79.32263008
Roding Community Centre,Washroom Building,43.72918866,-79.49256274
Regent Park Community Centre,Washroom Building,43.65827453,-79.3616924
Port Union Community Recreation Centre,Washroom Building,43.7796659,-79.14028096
Pleasantview Community Centre,Washroom Building,43.78699369,-79.33683115
Parkway Forest Community Centre,Washroom Building,43.77256661,-79.34360719
Pam McConnell Aquatic Centre,Washroom Building,43.66122887,-79.36110183
Ourland Community Centre,Washroom Building,43.61508563,-79.50835158
Oriole Community Centre,Washroom Building,43.78176087,-79.35140957
O'Connor Community Centre,Washroom Building,43.71765951,-79.30180005
Oakridge Community Recreation Centre,Washroom Building,43.69499418,-79.2835342
Oakdale Community Centre,Washroom Building,43.74777903,-79.51333552
Northwood Community Centre,Washroom Building,43.74549503,-79.50008702
North Toronto Memorial Community Centre,Washroom Building,43.7060603,-79.40459453
New Toronto Seniors' Centre,Washroom Building,43.60111321,-79.50137137
Mitchell Field Community Centre,Washroom Building,43.77450894,-79.40866347
Milliken Park Community Recreation Centre,Washroom Building,43.82975101,-79.2741555
Memorial Pool and Health Club,Washroom Building,43.64837909,-79.51961765
Matty Eckler Recreation Centre,Washroom Building,43.66790402,-79.33958367
Masaryk-Cowan Community Recreation Centre ,Washroom Building,43.64064359,-79.43325752
Mary McCormick Recreation Centre,Washroom Building,43.6474097,-79.43307824
Malvern Recreation Centre,Washroom Building,43.80856675,-79.2163846
Main Square Community Centre,Washroom Building,43.68717237,-79.29978864
Lawrence Heights Community Centre,Washroom Building,43.71804993,-79.44209141
L'Amoreaux Community Recreation Centre,Washroom Building,43.81261148,-79.30505635
Ken Cox Community Centre,Washroom Building,43.59509908,-79.51653528
Keele Community Centre,Washroom Building,43.65767336,-79.46158262
Joseph J. Piccininni Community Centre,Washroom Building,43.67532073,-79.45145008
John Innes Community Recreation Centre,Washroom Building,43.65542313,-79.37034393
Jimmie Simpson Recreation Centre,Washroom Building,43.66044758,-79.3453135
Jenner Jean-Marie Community Recreation Centre,Washroom Building,43.70307225,-79.3427975
Heron Park Community Centre,Washroom Building,43.7688364,-79.17725498
Harrison Pool,Washroom Building,43.65108826,-79.39083667
