count,lat,lon,metadata,start_timestamp
0,43.63977468,-79.42245532,Lamport Stadium Park,Oct-21
10,43.69741478,-79.35386848,Lower Don Parklands,Oct-21
3,43.78090037,-79.19730417,Morningside Park,Oct-21
12,43.65558614,-79.37043073,Moss Park,Oct-21
4,43.68179447,-79.4101068,Nordheimer Ravine,Oct-21
2,43.65465987,-79.3627258,Orphan's Green,Oct-21
0,43.64235304,-79.42916125,Parkdale Ampitheatre,Oct-21
17,43.6497993,-79.40084238,Randy Padmore Park,Oct-21
15,43.67272549,-79.37625428,Rosedale Ravine Lands,Oct-21
7,43.65602246,-79.40202754,Sonya's Park,Oct-21
3,43.6512055,-79.32159,Tommy Thompson Park,Oct-21
0,43.64592207,-79.41417386,Trinity Bellwoods Park,Oct-21
1,43.65472242,-79.38160967,Trinity Square,Oct-21
0,43.65114655,-79.40510438,Alexandra Park,Nov-21
19,43.66093307,-79.3735941,Allan Gardens,Nov-21
6,43.65371478,-79.40192832,Bellevue Square Park,Nov-21
5,43.71337581,-79.46549418,Caledonia Park,Nov-21
5,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Nov-21
2,43.64418139,-79.39371522,Clarence Square Park,Nov-21
11,43.65699352,-79.4336308,Dufferin Grove Park,Nov-21
1,43.78030615,-79.46585598,G. Ross Lord Park,Nov-21
3,43.63806493,-79.40717673,Garrison Common,Nov-21
6,43.65261301,-79.39221132,Grange Park,Nov-21
2,43.65135346,-79.49062927,Kings Mill Park,Nov-21
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Nov-21
0,43.63977468,-79.42245532,Lamport Stadium Park,Nov-21
10,43.69741478,-79.35386848,Lower Don Parklands,Nov-21
7,43.78090037,-79.19730417,Morningside Park,Nov-21
6,43.65558614,-79.37043073,Moss Park,Nov-21
3,43.68179447,-79.4101068,Nordheimer Ravine,Nov-21
2,43.65465987,-79.3627258,Orphan's Green,Nov-21
0,43.64235304,-79.42916125,Parkdale Ampitheatre,Nov-21
20,43.6497993,-79.40084238,Randy Padmore Park,Nov-21
14,43.67272549,-79.37625428,Rosedale Ravine Lands,Nov-21
8,43.65602246,-79.40202754,Sonya's Park,Nov-21
3,43.6512055,-79.32159,Tommy Thompson Park,Nov-21
0,43.64592207,-79.41417386,Trinity Bellwoods Park,Nov-21
0,43.65472242,-79.38160967,Trinity Square,Nov-21
0,43.65114655,-79.40510438,Alexandra Park,Dec-21
18,43.66093307,-79.3735941,Allan Gardens,Dec-21
3,43.65371478,-79.40192832,Bellevue Square Park,Dec-21
2,43.71337581,-79.46549418,Caledonia Park,Dec-21
4,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Dec-21
3,43.64418139,-79.39371522,Clarence Square Park,Dec-21
3,43.65699352,-79.4336308,Dufferin Grove Park,Dec-21
1,43.78030615,-79.46585598,G. Ross Lord Park,Dec-21
1,43.63806493,-79.40717673,Garrison Common,Dec-21
8,43.65261301,-79.39221132,Grange Park,Dec-21
3,43.65135346,-79.49062927,Kings Mill Park,Dec-21
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Dec-21
0,43.63977468,-79.42245532,Lamport Stadium Park,Dec-21
10,43.69741478,-79.35386848,Lower Don Parklands,Dec-21
7,43.78090037,-79.19730417,Morningside Park,Dec-21
1,43.65558614,-79.37043073,Moss Park,Dec-21
1,43.68179447,-79.4101068,Nordheimer Ravine,Dec-21
2,43.65465987,-79.3627258,Orphan's Green,Dec-21
0,43.64235304,-79.42916125,Parkdale Ampitheatre,Dec-21
9,43.6497993,-79.40084238,Randy Padmore Park,Dec-21
9,43.67272549,-79.37625428,Rosedale Ravine Lands,Dec-21
6,43.65602246,-79.40202754,Sonya's Park,Dec-21
3,43.6512055,-79.32159,Tommy Thompson Park,Dec-21
0,43.64592207,-79.41417386,Trinity Bellwoods Park,Dec-21
2,43.65472242,-79.38160967,Trinity Square,Dec-21
11,43.66093307,-79.3735941,Allan Gardens,Jan-22
1,43.72881139,-79.32116014,Charles Sauriol Conservation Area,Jan-22
3,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Jan-22
4,43.64418139,-79.39371522,Clarence Square Park,Jan-22
0,43.71931001,-79.51254444,Downsview Park and Lawn Bowling Greens,Jan-22
0,43.70457547,-79.34127867,E.T. Seton Park,Jan-22
1,43.63806493,-79.40717673,Garrison Common,Jan-22
8,43.65261301,-79.39221132,Grange Park,Jan-22
0,43.64651218,-79.46393972,High Park,Jan-22
3,43.65135346,-79.49062927,Kings Mill Park,Jan-22
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Jan-22
0,43.67434988,-79.47987059,Lavender Creek Trail,Jan-22
7,43.69741478,-79.35386848,Lower Don Parklands,Jan-22
0,43.6580416,-79.3314175,Martin Goodman Trail,Jan-22
7,43.78090037,-79.19730417,Morningside Park,Jan-22
1,43.68179447,-79.4101068,Nordheimer Ravine,Jan-22
1,43.67094057,-79.35433043,Riverdale Park East,Jan-22
9,43.67272549,-79.37625428,Rosedale Ravine Lands,Jan-22
1,43.69866061,-79.24908553,Scarborough Heights Park,Jan-22
1,43.67559997,-79.38645,Severn Creek Park,Jan-22
0,43.69711646,-79.29741235,Taylor Creek Park,Jan-22
3,43.65472242,-79.38160967,Trinity Square,Jan-22
0,43.6981562,-79.28484213,Warden Woods Park,Jan-22
0,43.71724435,-79.35015227,Wilket Creek Park,Jan-22
2,43.66467932,-79.3134879,Woodbine Park (New),Jan-22
4,43.66093307,-79.3735941,Allan Gardens,Feb-22
0,43.72881139,-79.32116014,Charles Sauriol Conservation Area,Feb-22
4,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Feb-22
3,43.64418139,-79.39371522,Clarence Square Park,Feb-22
0,43.71931001,-79.51254444,Downsview Park and Lawn Bowling Greens,Feb-22
0,43.70457547,-79.34127867,E.T. Seton Park,Feb-22
1,43.63806493,-79.40717673,Garrison Common,Feb-22
7,43.65261301,-79.39221132,Grange Park,Feb-22
0,43.64651218,-79.46393972,High Park,Feb-22
3,43.65135346,-79.49062927,Kings Mill Park,Feb-22
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Feb-22
0,43.67434988,-79.47987059,Lavender Creek Trail,Feb-22
8,43.69741478,-79.35386848,Lower Don Parklands,Feb-22
0,43.6580416,-79.3314175,Martin Goodman Trail,Feb-22
7,43.78090037,-79.19730417,Morningside Park,Feb-22
1,43.68179447,-79.4101068,Nordheimer Ravine,Feb-22
2,43.67094057,-79.35433043,Riverdale Park East,Feb-22
9,43.67272549,-79.37625428,Rosedale Ravine Lands,Feb-22
1,43.69866061,-79.24908553,Scarborough Heights Park,Feb-22
2,43.67559997,-79.38645,Severn Creek Park,Feb-22
0,43.69711646,-79.29741235,Taylor Creek Park,Feb-22
3,43.65472242,-79.38160967,Trinity Square,Feb-22
0,43.6981562,-79.28484213,Warden Woods Park,Feb-22
0,43.71724435,-79.35015227,Wilket Creek Park,Feb-22
2,43.66467932,-79.3134879,Woodbine Park (New),Feb-22
5,43.66093307,-79.3735941,Allan Gardens,Mar-22
1,43.72881139,-79.32116014,Charles Sauriol Conservation Area,Mar-22
3,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Mar-22
2,43.64418139,-79.39371522,Clarence Square Park,Mar-22
0,43.71931001,-79.51254444,Downsview Park and Lawn Bowling Greens,Mar-22
2,43.70457547,-79.34127867,E.T. Seton Park,Mar-22
1,43.63806493,-79.40717673,Garrison Common,Mar-22
9,43.65261301,-79.39221132,Grange Park,Mar-22
1,43.64651218,-79.46393972,High Park,Mar-22
3,43.65135346,-79.49062927,Kings Mill Park,Mar-22
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Mar-22
0,43.67434988,-79.47987059,Lavender Creek Trail,Mar-22
13,43.69741478,-79.35386848,Lower Don Parklands,Mar-22
1,43.6580416,-79.3314175,Martin Goodman Trail,Mar-22
7,43.78090037,-79.19730417,Morningside Park,Mar-22
3,43.68179447,-79.4101068,Nordheimer Ravine,Mar-22
2,43.67094057,-79.35433043,Riverdale Park East,Mar-22
6,43.67272549,-79.37625428,Rosedale Ravine Lands,Mar-22
1,43.69866061,-79.24908553,Scarborough Heights Park,Mar-22
2,43.67559997,-79.38645,Severn Creek Park,Mar-22
0,43.69711646,-79.29741235,Taylor Creek Park,Mar-22
5,43.65472242,-79.38160967,Trinity Square,Mar-22
0,43.6981562,-79.28484213,Warden Woods Park,Mar-22
0,43.71724435,-79.35015227,Wilket Creek Park,Mar-22
2,43.66467932,-79.3134879,Woodbine Park (New),Mar-22
5,43.66093307,-79.3735941,Allan Gardens,Apr-22
2,43.72881139,-79.32116014,Charles Sauriol Conservation Area,Apr-22
0,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Apr-22
3,43.64418139,-79.39371522,Clarence Square Park,Apr-22
0,43.71931001,-79.51254444,Downsview Park and Lawn Bowling Greens,Apr-22
2,43.70457547,-79.34127867,E.T. Seton Park,Apr-22
1,43.63806493,-79.40717673,Garrison Common,Apr-22
6,43.65261301,-79.39221132,Grange Park,Apr-22
1,43.64651218,-79.46393972,High Park,Apr-22
3,43.65135346,-79.49062927,Kings Mill Park,Apr-22
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Apr-22
5,43.67434988,-79.47987059,Lavender Creek Trail,Apr-22
13,43.69741478,-79.35386848,Lower Don Parklands,Apr-22
2,43.6580416,-79.3314175,Martin Goodman Trail,Apr-22
7,43.78090037,-79.19730417,Morningside Park,Apr-22
4,43.68179447,-79.4101068,Nordheimer Ravine,Apr-22
1,43.67094057,-79.35433043,Riverdale Park East,Apr-22
6,43.67272549,-79.37625428,Rosedale Ravine Lands,Apr-22
1,43.69866061,-79.24908553,Scarborough Heights Park,Apr-22
1,43.67559997,-79.38645,Severn Creek Park,Apr-22
1,43.69711646,-79.29741235,Taylor Creek Park,Apr-22
3,43.65472242,-79.38160967,Trinity Square,Apr-22
1,43.6981562,-79.28484213,Warden Woods Park,Apr-22
1,43.71724435,-79.35015227,Wilket Creek Park,Apr-22
3,43.66467932,-79.3134879,Woodbine Park (New),Apr-22
3,43.66093307,-79.3735941,Allan Gardens,May-22
2,43.72881139,-79.32116014,Charles Sauriol Conservation Area,May-22
0,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,May-22
6,43.64418139,-79.39371522,Clarence Square Park,May-22
0,43.71931001,-79.51254444,Downsview Park and Lawn Bowling Greens,May-22
2,43.70457547,-79.34127867,E.T. Seton Park,May-22
1,43.63806493,-79.40717673,Garrison Common,May-22
4,43.65261301,-79.39221132,Grange Park,May-22
0,43.64651218,-79.46393972,High Park,May-22
